# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
2.199999999999999091e+03 3.979999999999999716e+01 3.928506999999999749e+01 7.415009999999999657e+00 4.681415000000000504e+01
2.210000000000000000e+03 3.985000000000000142e+01 3.933371999999999957e+01 7.434459999999999624e+00 4.718822000000000116e+01
2.219999999999999545e+03 3.989999999999999858e+01 3.929397999999999769e+01 8.726699999999999235e+00 4.751838000000000051e+01
2.230000000000000455e+03 3.995000000000000284e+01 3.944127999999999901e+01 7.325619999999999798e+00 4.789703000000000088e+01
2.240000000000000000e+03 4.000000000000000000e+01 3.943366999999999933e+01 8.155110000000000525e+00 4.820060000000000144e+01
2.249999999999999091e+03 4.004999999999999716e+01 3.960249999999999915e+01 6.444009999999999572e+00 4.856126000000000431e+01
2.260000000000000000e+03 4.010000000000000142e+01 3.965346999999999866e+01 6.429969999999999963e+00 4.891903000000000645e+01
2.269999999999999545e+03 4.014999999999999858e+01 3.976373000000000246e+01 5.562310000000000088e+00 4.927708000000000510e+01
2.280000000000000455e+03 4.020000000000000284e+01 4.011173000000000144e+01 1.271039999999999948e+00 4.955525000000000091e+01
2.290000000000000000e+03 4.025000000000000000e+01 4.004028000000000276e+01 3.019950000000000134e+00 4.967896000000000356e+01
2.299999999999999091e+03 4.029999999999999716e+01 4.015055000000000263e+01 2.152060000000000084e+00 4.986795000000000044e+01
2.310000000000000000e+03 4.035000000000000142e+01 3.971822000000000230e+01 9.097680000000000433e+00 5.012937000000000154e+01
2.319999999999999545e+03 4.039999999999999858e+01 3.979538999999999760e+01 8.706340000000000856e+00 5.054771999999999821e+01
2.330000000000000455e+03 4.045000000000000284e+01 4.002781000000000233e+01 6.079480000000000217e+00 5.088777000000000328e+01
2.340000000000000000e+03 4.050000000000000000e+01 4.014621000000000350e+01 5.094630000000000436e+00 5.112951999999999941e+01
2.349999999999999091e+03 4.054999999999999716e+01 4.009317999999999671e+01 6.578260000000000218e+00 5.146538999999999930e+01
2.360000000000000000e+03 4.060000000000000142e+01 4.018189999999999884e+01 6.020620000000000083e+00 5.177949000000000268e+01
