# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
1.965999999999999636e+04 4.793999999999999773e+01 4.781898000000000337e+01 1.742760000000000087e+00 4.805675000000001518e+01
1.967000000000000000e+04 4.795000000000000284e+01 4.795638000000000289e+01 -9.186999999999999333e-02 4.805419000000001262e+01
1.968000000000000000e+04 4.796000000000000085e+01 4.828746999999999900e+01 -4.715510000000000090e+00 4.801470000000001193e+01
1.968999999999999636e+04 4.796999999999999886e+01 4.812416000000000338e+01 -2.219899999999999984e+00 4.799231000000001046e+01
1.969999999999999636e+04 4.797999999999999687e+01 4.796070999999999884e+01 2.778200000000000114e-01 4.798074000000001149e+01
1.971000000000000000e+04 4.799000000000000199e+01 4.784159999999999968e+01 2.137030000000000207e+00 4.799830000000001462e+01
1.972000000000000000e+04 4.800000000000000000e+01 4.842282000000000153e+01 -6.088639999999999830e+00 4.798731000000001501e+01
1.972999999999999636e+04 4.800999999999999801e+01 4.793057000000000301e+01 1.143839999999999968e+00 4.795884000000000924e+01
1.974000000000000000e+04 4.802000000000000313e+01 4.820533999999999963e+01 -2.668880000000000141e+00 4.794306000000000978e+01
1.975000000000000000e+04 4.803000000000000114e+01 4.823984999999999701e+01 -3.021790000000000198e+00 4.789822000000000912e+01
1.975999999999999636e+04 4.803999999999999915e+01 4.818842999999999677e+01 -2.137459999999999916e+00 4.788070000000001158e+01
1.976999999999999636e+04 4.804999999999999716e+01 4.824125999999999692e+01 -2.754090000000000149e+00 4.784496000000001459e+01
1.978000000000000000e+04 4.806000000000000227e+01 4.816082999999999714e+01 -1.451950000000000074e+00 4.783405000000001195e+01
1.979000000000000000e+04 4.807000000000000028e+01 4.793529999999999802e+01 1.939710000000000045e+00 4.784187000000001433e+01
1.979999999999999636e+04 4.807999999999999829e+01 4.776565999999999690e+01 4.526440000000000019e+00 4.786227000000000942e+01
1.981000000000000364e+04 4.809000000000000341e+01 4.785260999999999854e+01 3.418419999999999792e+00 4.789190000000001390e+01
1.982000000000000000e+04 4.810000000000000142e+01 4.780919999999999703e+01 4.187490000000000379e+00 4.793502000000000862e+01
1.982999999999999636e+04 4.810999999999999943e+01 4.789509000000000327e+01 3.094640000000000057e+00 4.795498000000001326e+01
1.983999999999999636e+04 4.811999999999999744e+01 4.806909000000000276e+01 7.331100000000000394e-01 4.798064000000001528e+01
1.985000000000000000e+04 4.813000000000000256e+01 4.795955000000000013e+01 2.454439999999999955e+00 4.799855000000000871e+01
1.986000000000000000e+04 4.814000000000000057e+01 4.820602000000000231e+01 -9.506799999999999695e-01 4.799238000000001136e+01
1.986999999999999636e+04 4.814999999999999858e+01 4.820138000000000034e+01 -7.398500000000000076e-01 4.797255000000001246e+01
